Project Number,Project Name,Phase,Recipient,Type of Organization (Account) (Account),Geographic Distribution,Location of project,Program Pillar,Agreement Start Date,Agreement End Date,Description Short,List of Partners or Collaborators,Species Group
BCSRIF_2022_427,Fish Passage Restoration in Gitksan Territory,2,Skeena Fisheries Commission,"Indigenous Organization (non-commercial, including First Nations governments)",Central Coast and the North,Terrace,Innovation,5/4/2023,3/31/2026,"The Skeena Fisheries Commission, in partnership with Gitksan Watershed Authorities will undertake activities to restore fish passage and utility of upstream habitats by replacing fish barriers in Gitksan Territory on the Skeena River watershed. This project provides opportunities for training of fisheries technicians and youth, and will support continued restoration efforts in the area. ","North Coast Skeena First Nations Stewardship Society (NCSFNSS)
Gitksan Watershed Authorities (GWA)
North Coast DFO Salmonid Enhancement Program and Resource Restoration Unit ",Pacific Salmon
BCSRIF_2022_430,Resilient Estuaries in the Salish Sea: Phase Two (Baseline Assessments and Ground-truthing),2,SeaChange,Stewardship Group (local/community-based),South Coast,Strait of Georgia,Innovation,5/4/2023,3/31/2026,"The Resilient Estuaries in the Salish Sea: Phase Two (Baseline Assessments and Ground-truthing) project will build upon research completed in partnership with the Pacific Salmon Foundation and will provide baseline assessments of critical salmonid habitats in the highly resilient estuaries identified during that work. In light of current and forecasted climate impacts, the project will focus on smaller estuaries with attributes that make them more resilient to the impacts of climate change. These estuarine systems provide critical nearshore habitats for salmonids in the Salish Sea bioregion and needed habitat connectivity between the large estuaries of the Salish Sea.This will allow us to refine the recommendations in the DRAFT Restoration and Conservation Action Strategy Plan also formulated as part of Phase One and will set up community and First Nations-led restoration and conservation efforts anticipated to be undertaken in Phase Three.","Pacific Salmon Foundation (PSF)
Jacklyn Barrs, World Wildlife Fund (WWF)
Peninsula Streams and Shorelines (PSS)
Coastal Restoration Society        
Dept. of Fisheries and Oceans
BC Parks
Parks Canada
Islands Trust
Local Land Conservancies",Pacific Salmon
BCSRIF_2022_432,Shellfish Aquaculture Sustainability Enhancement Program,2,British Columbia Shellfish Grower's Association,Industry Association,BC Wide and Coastal Waters,Comox,Infrastructure,9/1/2023,3/31/2026,"Sustainability of shellfish aquaculture requires innovation in technologies, business adaptation, awareness of regulatory requirements, and environmental stewardship are the principle goals of this project. This project will build on the success and lessons of the Shellfish Aquaculture Strategic Renewal Program and the information from outreach to member and non-member shellfish farmers to provide support with; 1) Innovative Shellfish Handling technologies, 2) developing capacity for a long-term Broodstock selection program, 3) environmental habitat restoration and technologies for monitoring the impacts of shellfish facilities at Deepwater sites, 4) providing education, awareness, and direct support to shellfish farmers to understand their requirements under the many acts, regulations, and conditions that govern their operation.","Vancouver Island Universirty
North Island College
Ocean Legacy Foundation
Coastal Restoration Society
Seaveyors
Deep Search Diving
Union Bay Diving
Emerald Sea Engineering
Nova Harvest Ltd
Island Sea Farms Inc
Manatee Holding Ltd
BC Shellfish Growers Association",Pacific Shellfish
BCSRIF_2022_433,Towards food security: restoring salmon and their habitat,2,Office of the Wet’suwet’en,"Indigenous Organization (non-commercial, including First Nations governments)",Central Coast and the North,Houston and Smithers are closest towns.,Science partnerships,5/4/2023,3/31/2026,"Our project aims to assess, monitor, and rebuild salmon populations and their habitat throughout Wet’suwet’en ancestral territory. While abundant salmon populations once provided annual sustenance to the Wet’suwet’en people, such abundance and diversity has largely eroded over the last several decades to the point of no longer fulfilling our community’s needs. There is an urgent need to restore our lands and waters that have been degraded due to logging, road building, agriculture, highway, railway, and urban development, and to rebuild our salmon populations to a level of abundance that can sustain our annual food needs and provide for the surrounding biological community. We will accomplish this through a multi-pronged approach that partners with academics, local environmental organizations, First Nation, government, and watershed groups to undertake activities recently deemed of high priority. Broadly, these include: engaging with local land users to stabilize streambanks and rebuild riparian structure in the most degraded habitats, develop robust rebuilding plans for culturally important and highly diminished species and populations, and improve monitoring data for such populations to assess effectiveness of ongoing habitat restoration and rebuilding efforts.","A Rocha
Morice Water Monitoring Trust
DFO
Gixsan Watershed Authority
",Pacific Salmon
BCSRIF_2022_435,Colquitz River Salmonid Restoration and Monitoring Project,2,Peninsula Streams Society,Stewardship Group (local/community-based),South Coast,Victoria,Infrastructure,5/15/2023,3/31/2026,"PSS is proposing to undertake projects to support Greater Victoria's urban salmon ecosystems. Through assessments and restoration they will work to develop the key priorities for sustainable salmon habitats within the contexts of Indigenous knowledge, science, urbanization, and climate change.  Working collaboratively with partners, PSS will create a shared vision of active and effective salmon stewardship in select culturally and significant watersheds.","Pacific Salmon Foundation
District of Saanich
BC Community Gaming Grants
BC Province - Dept of Forest, Fish and Wildlife
BC Conservation Foundation
",Pacific Salmon
BCSRIF_2022_436,"Establishing baselines, risks, and mechanisms of thiamine deficiency in British Columbia Chinook salmon",2,"University of British Columbia (Vancouver), Institute for the Oceans and Fisheries",Post-Secondary Institution,South Coast,"S Strait of Georgia,east of Vancouver Island,Fraser River,Howe Sound,Juan de Fuca Strait",Innovation,6/1/2023,3/31/2026,"Thiamine (vitamin B1) deficiency complex (TDC) is a rapidly emerging issue impacting Chinook salmon in California and Alaska, but has received extremely limited evaluation in British Columbia. TDC may already be a factor in BC Chinook declines, and is expected to be a burgeoning issue under climate change. Thiamine is derived from prey in the marine environment and levels in predators vary in response to changing ocean conditions and diet. This project will provide baseline knowledge of the status of thiamine in BC Chinook salmon by: 1) determining thiamine levels in eggs and river entry fish from populations representative of life history types; 2) establishing the thiamine attributes of Chinook prey species; and 3) evaluating links between thiamine status of Chinook and mechanisms of TDC. This project will identify populations experiencing or at risk of TDC, guide realistic mitigation strategies in hatcheries, and inform prediction of future change.","Bon Chovy Fishing Charters
University of Washington
Pacific Salmon Foundation
Fisheries and Oceans Canada Salmonid Enhancement Program",Pacific Salmon
BCSRIF_2022_438,Highway 16 and CN Corridor Stranding Remediation/Willow Creek Arch Culvert/Mid-Scully Creek Spawning Gravel Addition.,2,Kitsumkalum Indian Band,"Indigenous Organization (non-commercial, including First Nations governments)",Central Coast and the North,Highway16betweenTerracePrince RupertWillow CreekCrossingofJohnstone RoadNorth TerraceLakelse Lake,Infrastructure,5/4/2023,3/31/2026,"Building on feasibility studies funded through a previous BCSRIF intake, this project will implement designs to improve identified fish stranding sites along the Highway 16 corridor between Prince Rupert and Terrace along the lower Skeena River. This work will be led by Kitsumkalum Band Fish and Wildlife Department, in collaboration with BC Parks, CN Rail, Ministry of Transportation (MoTI), and DFO with the goal to provide 2-way fish passage and additional spawning and rearing habitat, as well as reducing fish stranding mortality.  ","DFO 
MoTI 
FLNRORD 
Regional District of Kitimat-Stikine 
Lakelse Watershed Stewards Society
Kitsumkalum Band 
Westland Resources 
",Pacific Salmon
BCSRIF_2022_439,Nanwakolas 50 Watersheds Project,2,Nanwakolas Council Society,"Indigenous Organization (non-commercial, including First Nations governments)",South Coast,Campbell River,Science partnerships,7/1/2023,3/31/2026,"The Nanwakolas 50 Watersheds Project is an Indigenous-led science partnership and research project to understand, and develop tools to address, the threats posed by climate change and forest management on salmon populations and their habitat. The project will comprise of three collaborative science research areas: climate-salmon research, forestry-salmon research, and environmental DNA-salmon research. The study is based on a nested design across the territories of the Nanwakolas-member First Nations and include a broader territorial scale collection of stream temperature data to validate, build and improve predictive models as well as a smaller scale focused study on select watersheds with a more intensive assessment of stream temperature and ecosystems including eDNA collection. This research will also integrate LiDAR-derived characterizations of the focal watersheds to quantify the effect of forestry and watershed variability on water temperature and salmon ecosystems. 

Partners on this project include five  member First Nations of the Nanwakolas Council, including the leadership and Guardians of the Wei Wai Kai, Wei Wai Kum, Tlowitsis, Mamalilikulla and the K’omoks First Nations, all of whom were engaged in the development of this project, as well as the Hakai Institute, Department of Fisheries and Oceans, Coast Area Research Section of BC Ministry of Forests, as well as scientists from Ecosfish Research, the University of British Columbia, University of Ottawa, and Simon Fraser University.

","Hakai Institute
Ecofish Research Ltd. 
BC Ministry of Forests - Coast Area Research Section 
University of British Columbia 
University of Ottawa
Simon Fraser University 
Nanwakolas member-Nations’ territories: Heydon Creek, Apple River, Fulmore River, Tuna Creek, Read Creek, Lull Creek, Salmon River, Puntledge River, Quinsam River, Eve River, Mamalilikulla First Nation, Musgamagw Dzawada’enuxw, Mamalilkulla First Nation, K’omoks, Tlowtisis, and Da’naxda’xw Awaetlala First Nations
Pacific Salmon Foundation Salmon Watersheds Program 
Broughton Archipelago Transition Initiative 	
Wei Wai Kum and We Wai Kai 
Nature Trust BC 
Salmon Coast Field Station Society 

 

",Pacific Salmon
BCSRIF_2022_442,Identifying factors that influence early marine survival of WCVI Chinook salmon,2,Pacific Salmon Foundation,Not-for-profit organization (ENGO),South Coast,West Coast Vancouver Island,Innovation,6/1/2023,3/31/2026,"Our project brings together a broad group of Indigenous and non-Indigenous collaborators to evaluate timing and causes of mortality in west coast Vancouver Island (WCVI) Chinook salmon during early marine residence. We will use PIT-tagging to estimate survival, and combine these estimates with individual-based measures of environmental stress using cutting-edge gene-expression tools (“Fit-Chips”). Additionally, we will monitor environmental DNA (eDNA) to determine key rearing habitats, availability of prey, and presence of predators and pathogens across spatial and temporal scales.

Our project will fill key information gaps pertaining to at-risk Chinook populations, prescribed for rebuilding under the Fisheries Act. Ultimately, the findings will help to inform targeted habitat restoration, protection, and enhancement efforts for WCVI Chinook salmon. Adding to ongoing collaborations with WCVI First Nations, DFO, local NGOs, and PSF’s Salmon Bottlenecks project, we will leverage extensive experience, expertise, and infrastructure already in place to deliver the most comprehensive investigation to date of early marine survival in WCVI Chinook salmon.","Pacific Salmon Foundation 
DFO Science Branch
Mitacs",Pacific Salmon
BCSRIF_2022_444,Enhancing Estuary Resilience: A Collaborative Approach to the Monitoring and Restoration of Estuaries with Coastal First Nations,2,Nature Trust of British Columbia (NTBC),Not-for-profit organization (ENGO),BC Wide and Coastal Waters,BC Wide and Coastal Waters,Innovation,5/5/2023,3/31/2026,"Through our ‘Enhancing Estuary Resilience: A Collaborative Approach to the Monitoring and Restoration of Estuaries with Coastal First Nations’ initiative, The Nature Trust of British Columbia (NTBC) will continue and expand monitoring and research to assess estuary resilience to sea-level rise and other climate impacts across the coast of BC using the Marsh Resilience to Sea Level Rise (MARS) tool and will work with our existing and expanded First Nations partnerships to identify additional estuary restoration opportunities. Funding provided through this project will also be used to augment restoration activities proposed for the Cowichan River estuary to restore core natural estuarine processes and will allow NTBC and First Nations partners to continue to monitor and adaptively manage previously completed restoration projects at the Salmon and Nanaimo River estuaries. The NTBC partners with 15 First Nations and Tribal Councils, environmental organizations, and academic institutions to implement collaborative monitoring and research across the coast of BC.","Federal and Provincial governments
ENGO partner organizations
WCCLMP (Management Committee) 
DFO Resource Restoration Unit
15 coastal First Nations and Tribal Councils 
Broughton Aquaculture Transition Initiative (BATI) 
Mamalilikulla First Nation (Hoyeha River estuary) 
Simon Fraser University Salmon Watersheds Lab (SWL)
US National Oceanic and Atmospheric Administration (NOAA) Office for Coastal Management 
US National Estuarine Research Reserve System (NERRS)
Hakai Institute ",Pacific Salmon
BCSRIF_2022_445,Supporting B.C.’s Kelp Industry and Enabling Coastal Restoration & Research by Increasing Hatchery Seed Supply,2,West Coast Kelp Ltd.,Commercial Enterprise,South Coast,Bamfield,Infrastructure,6/1/2023,5/31/2024,"The goal of this project is to address a major bottleneck inhibiting Canadian kelp farmers and restoration initiatives: insufficient and unreliable seed supply. In order to address this bottleneck, this project will improve hatchery methods and expand WCK’s existing hatchery infrastructure to produce enough kelp seed for seventy-two hectares of kelp farm per year. Furthermore, this project will deliver an in-kind contribution to a First Nation’s owned business operating a kelp farm in Barkley Sound that will be used to assist with the development the kelp farming business and create training and employment opportunities for indigenous youth. ","Huu-ay-aht First Nations
Bamfield Marine Sciences Centre 
Husmin Kelp Products Ltd. (HKP) 
The Kelp Node – Hakai Institute
Sea Forest 
Nova Harvest
Toquaht Nation
Dr. Amanda Bates – University of Victoria",Kelp
BCSRIF_2022_447,Xá:y Syí:ts’emílep: Gill Bar Restoration and Management Plan,2,Stó:lo Service Agency,"Indigenous Organization (non-commercial, including First Nations governments)",Fraser and Interior,Chilliwack,Innovation,5/4/2023,3/31/2026,"The project aims to implement an Indigenous-led approach to researching, restoring, and conserving the Gill Bar area of the Fraser River. The project team along with technical professionals of the S’ólh Téméxw Stewardship Alliance, aim to assess the Gill Bar for habitat destruction related to the impacts of long term heavy recreational use and to conduct an inventory of the habitats and species use. These findings will then feed into an in-river island management plan and associated restoration works. The project will be conducted in collaboration with academic partners at the River’s Institute at BC Institute of Technology. The City of Chilliwack is also partnering on the project as they work on a complementary plan to co-manage the land use of the area with the Pelólhxw Tribe. ","DFO - Salmonid Enhancement Program, DFO - Resource Restoration Unit, BC Ministry of Forests and Ministry of Land, Waters and Natural Resource Stewardship",Pacific Salmon
BCSRIF_2022_448,Chilako River and Tributary Stream Corridor Restoration Demonstration,2,Lheidli T’enneh First Nation,"Indigenous Organization (non-commercial, including First Nations governments)",Fraser and Interior,Prince George,Innovation,9/1/2023,3/31/2026,"The Chilako River and Tributary Restoration is a Lheidli T’enneh led initiative that takes a strategic, process based approach to recovering impacted spawning and rearing habitat. The key activities include the use of low-tech, process based techniques to restore riparian vegetation on riverbanks and tributary floodplains. The objectives are to rehabilitate stream and river corridors such that stability exists during valley wide floods and the floodplain remains connected to the river during the extreme summer low flows. The project team includes 4 levels of government, local NGO’s, academia, industry and an extensive list of private landowners who all work together in the interest of River Corridor restoration. ",,Pacific Salmon
BCSRIF_2022_449,"Analysis of forestry effects on Pacific salmon in Musgamagw Dzawada’enuxw territory and across
coastal BC.",2,Salmon Coast Field Station Society,Stewardship Group (local/community-based),South Coast,Broughton Archipelago.,Science partnerships,5/4/2023,3/31/2026,"The project will be four components (i) provide a quantitative and qualitative history of forestry and salmon in Musgamagw Dzawada’enuxw territory, (ii) quantify the effects of forest harvesting histories on salmon abundance for all Pacific salmon species in coastal BC, (iii) establish a temperature, sedimentation, and dissolved oxygen monitoring system in salmon watersheds of Musgamagw Dzawada’enuxw territory to quantify stream temperatures and water quality in relation to forestry activity and support a centralized database of stream temperatures coast-wide initiated by the PSF, and (iv) develop a new non-invasive method for studying salmon stress responses using environmental DNA technology and applies it to salmon in relation to temperature and environmental variation across watersheds in Musgamagw Dzawada’enuxw territory. The project components will thus provide proximate empirical data on the environmental conditions of salmon habitats, salmon stress, growth, and immune responses to their stream environments, as well as population level relationships from salmon and forestry timeseries. The outcomes of the project will provide detailed histories of forestry and salmon in the watersheds of Musgamagw Dzawada’enuxw territory, new fieldwork with which to analyze how forestry practices and history interact with climate change to affect salmon, and a quantitative analysis of salmon population responses to forestry histories across the full British Columbia coast.",,Pacific Salmon
BCSRIF_2022_450,Gwa’sala ‘Nakwaxda-xw Fully-Integrated Salmon Habitat Restoration Project (GNN-FISHR),2,Gwa’sala ‘Nakwaxda’xw Nations,"Indigenous Organization (non-commercial, including First Nations governments)",Central Coast and the North,Smith Inlet/Seymour Inlet,Infrastructure,5/4/2023,3/31/2026,"The Gwa’sala ‘Nakwaxda-xw project will focus on salmon habitat restoration and enhancement in Smith Inlet and Seymour Inlet on the Central Coast. This will include upgrades to the Warner Bay Hatchery, Seymour Inlet stock monitoring, and restoration activities along the Nekite River, in partnership with experts in habitat restoration and informed by Traditional Knowledge holders. This multi-phased approached will employ a strategy of integrated ecosystem repair and monitoring to support healthy stock levels and  rebuilding initiatives. ","Gwanak Resources
DFO
Great Bear Rainforest Tours
BC FLNRO
",Pacific Salmon
BCSRIF_2022_451,Boundary Bay Chinook salmon restoration in the TA’TALU watershed,2,A Rocha Canada,Not-for-profit organization (ENGO),South Coast,Surrey,Science partnerships,5/4/2023,3/31/2026,"A Rocha Canada will assess the status of the Boundary Bay Chinook salmon conservation unit (CU) and its habitat in the TA'TALU (Little Campbell River) watershed, with the overarching goal of improving the sustainability of the CU in this system. The Boundary Bay Chinook salmon population is currently data deficient and was recently listed as Threatened under COSEWIC. A Rocha will implement a coded wire tag (CWT) study to assess the status of the Boundary Bay Chinook salmon CU, in addition to conducting a bio-cultural (ecological and Indigenous knowledge) assessment of the watershed with a focus on Chinook habitat, implementation of instream and riparian restoration to repair degraded Chinook habitat, and support Semiahmoo FN efforts to reinstate a First Salmon Ceremony.","Little Campbell Hatchery 
DFO FIA StAD
Salish Sea Indigenous Guardians Association ",Pacific Salmon
BCSRIF_2022_453,Establishing a Test Fishery for Chinook Salmon in key areas of the BC Coast,2,Sport Fishing Institute of BC,Industry Association,South Coast,BC Wide and Coastal Waters,Science partnerships,5/4/2023,3/31/2026,"This project will operate a Pilot program to develop a Test Fishery for Chinook Salmon to be used to supplement and verify stock composition data used in the development and management of Marked Selective Fisheries (MSF) for Chinook Salmon.  Key areas have been identified, PFMA areas 18 to 21 where there is a lack of sufficient data or existing data is out of date.  Professional Charter Vessels will be hired to conduct Test Fishing in these areas to obtain detailed catch  data and biological samples of each Chinook encountered.  These detailed samples will be used  to better understand Stock Composition and timing in these areas. ","DFO Science and Fishery Management 
BC Sports Fishing Institute ",Pacific Salmon
BCSRIF_2022_454,FRIM – Short term mortality holding and respirometry studies,2,Sport Fishing Institute of BC,Industry Association,South Coast,Bamfield,Science partnerships,5/15/2023,3/31/2026,"This project will build on a previously funded Fisheries Related Incidental Mortality (FRIM) study led by the Sport Fishing Institute to expand the work to include Coho salmon, in addition to Chinook. This study will utilize best practices developed in the previous study to better understand FRIM in the recreational Coho fishery on West Coast Vancouver Island, and will be further advanced by a new component to study affects of fisheries interactions on fish metabolism. This information will be used to expand the Best Practices Handbook developed in 2020. ","UBC Salmon Ecology Lab
Bamfield Marine Sciences 
Huuayaht First Nation",Pacific Salmon
BCSRIF_2022_456,Informed Approaches to Determine Bottlenecks to Survival for Chinook and Coho Salmon and Steelhead,2,Pacific Salmon Foundation,Not-for-profit organization (ENGO),South Coast,Vancouver Island,Science partnerships,5/4/2023,3/31/2026,"This work will utilize and refine Passive Integrated Transponder (PIT) tag architecture (data collection application, tagging methods, capture methods, and PIT antennas and arrays) developed through the ongoing BCSRIF-funded “Bottlenecks Program” to track individual fish and provide new insights into survival in the South Coast. The survival of wild and enhanced Chinook and coho salmon will be compared within and between river systems and enhancement strategies (e.g. standard versus late release, smolt versus fed-fry), with tags applied and detected across multiple life history stages to identify periods of higher mortality (“bottlenecks”). Tag detections will also produce run-timing curves, straying rates, and terminal mortality rates. Focused activities will investigate size at ocean entry and migration patterns in the marine environment, information necessary to refine PIT-tag based survival models and understand life-history diversity. PIT tag-based stage-specific survival estimates will compliment studies of potential mediators of survival bottlenecks; environmental and anthropogenic influences on freshwater emigration, starvation in the first winter at sea, fishing-related incidental mortality (FRIM), and in-river pinniped predation. Collectively this work will greatly expand the understanding of factors limiting Chinook and coho salmon survival, suggest strategies to increase productivity, and leave a legacy of refined assessment approaches.""This project will build on a previously funded Fisheries Related Incidental Mortality (FRIM) study led by the Sport Fishing Institute to expand the work to include Coho salmon, in addition to Chinook. This study will utilize best practices developed in the previous study to better understand FRIM in the recreational Coho fishery on West Coast Vancouver Island, and will be further advanced by a new component to study affects of fisheries interactions on fish metabolism. This information will be used to expand the Best Prac",": BCCF, Cowichan Tribes, Snuneymuxw First Nation, A-Tlegay Fisheries Society, K’ómoks First Nation, Nanoose First Nation, UVic, DFO, BC Ministry of WLRS ","Chinook, coho, steelhead"
